,KepID,Exoplanet Archive Disposition,Disposition Score,Orbital Period [days],Transit Epoch [BKJD],Impact Parameter,Transit Duration [hrs],Transit Depth [ppm],Planetary Radius [Earth radii],Equilibrium Temperature [K],Insolation Flux [Earth flux],Transit Signal-to-Noise,Stellar Effective Temperature [K],Stellar Surface Gravity [log10(cm/s**2)],Stellar Radius [Solar radii],Dec [decimal degrees],Kepler-band [mag]
194,6949607,CONFIRMED,1.0,8.98581901,175.68418,0.008,2.8606,881.3,1.65,509.0,15.9,51.8,4072.0,4.696,0.57,42.42942,15.036
196,11869052,FALSE POSITIVE,0.573,20.5452375,137.91394,0.95,2.517,218.5,2.41,742.0,71.57,18.5,5670.0,4.206,1.264,50.172089,12.003
197,7109675,CONFIRMED,1.0,33.60123371,186.680343,0.67,4.4056,7425.9,8.46,495.0,14.22,247.9,5149.0,4.447,0.93,42.604172,15.262
198,7109675,CONFIRMED,1.0,6.76652928,138.0637,0.429,2.9004,450.7,1.97,845.0,120.48,29.2,5149.0,4.447,0.93,42.604172,15.262
199,7118364,CONFIRMED,1.0,4.347288783,172.23343,0.025,2.1024,451.6,2.36,1174.0,449.79,39.7,5754.0,4.345,1.122,42.69614,15.024
200,7134976,CONFIRMED,1.0,4.601811819,169.98108,0.567,2.2607,755.9,2.35,896.0,152.91,60.8,4986.0,4.496,0.833,42.663429,15.024
201,7134976,CONFIRMED,0.997,11.18719905,137.17814,0.387,3.252,353.6,1.55,667.0,46.65,21.9,4986.0,4.496,0.833,42.663429,15.024
202,7135852,CONFIRMED,1.0,4.220965778,170.622433,0.705,3.0854,2260.0,2.62,595.0,29.68,157.8,3837.0,4.747,0.517,42.62611,15.692
203,7270230,FALSE POSITIVE,0.0,6.998099523,171.898913,7.361,2.0488,20285.0,588.66,853.0,125.22,192.3,5612.0,4.566,0.829,42.832439,15.877
204,7287995,CONFIRMED,1.0,5.95489993,170.955871,0.327,2.3892,1410.7,2.33,635.0,38.52,87.2,4261.0,4.641,0.633,42.82497,15.019
205,7287995,CONFIRMED,1.0,12.03987488,181.22536,0.286,2.7363,1250.6,2.18,502.0,15.06,57.6,4261.0,4.641,0.633,42.82497,15.019
206,7287995,CONFIRMED,0.998,20.83762895,132.08488,0.706,2.3734,439.0,1.42,418.0,7.24,14.9,4261.0,4.641,0.633,42.82497,15.019
207,3247396,FALSE POSITIVE,0.0,8.8111022,136.4568,1.223,5.0683,401.1,63.66,1399.0,904.92,76.8,6200.0,3.8,2.404,38.383461,12.759
208,7303253,CONFIRMED,1.0,23.58917143,173.81994,0.926,5.073,1200.7,3.16,487.0,13.34,53.3,4919.0,4.566,0.721,42.83992,15.316
209,5094751,CONFIRMED,1.0,6.481633073,122.977657,0.833,3.784,298.5,2.54,1145.0,406.25,125.6,5945.0,4.213,1.302,40.28487,12.365
210,7678434,CONFIRMED,1.0,10.37168928,172.61729,0.537,3.035,1254.9,3.2,720.0,63.68,64.5,5121.0,4.457,0.888,43.363899,15.193
211,7678434,CONFIRMED,1.0,3.96996298,137.75447,0.836,1.1757,299.2,1.78,992.0,229.37,15.0,5121.0,4.457,0.888,43.363899,15.193
212,7685981,CONFIRMED,1.0,4.40841331,172.18582,0.899,5.012,549.4,2.66,1139.0,398.0,45.1,6007.0,4.457,0.961,43.34639,15.662
213,7708215,FALSE POSITIVE,0.0,7.9426176,174.52563,0.942,6.703,1590.7,4.68,878.0,140.57,60.4,5811.0,4.521,0.926,43.399632,15.26
214,7373451,CONFIRMED,1.0,226.8904775,207.35971,0.731,7.558,3136.4,4.53,236.0,0.73,46.8,5067.0,4.585,0.75,42.935261,15.859
215,7377033,FALSE POSITIVE,0.0,1.956811408,170.694208,1.091,2.1958,24905.0,21.58,1109.0,357.16,125.4,5209.0,4.657,0.603,42.943062,15.533
217,7434875,CONFIRMED,1.0,9.439459486,177.186096,0.049,2.8979,3036.1,4.16,686.0,52.32,175.2,5097.0,4.597,0.779,43.039291,15.067
218,8349582,CONFIRMED,1.0,11.523067458,131.969055,0.0,3.8757,507.3,3.13,927.0,174.81,142.0,5644.0,4.162,1.411,44.398041,12.346
219,7434875,CONFIRMED,0.0,20.47748843,178.66786,0.497,2.8364,1382.4,2.92,530.0,18.65,52.7,5097.0,4.597,0.779,43.039291,15.067
220,7434875,CONFIRMED,1.0,3.336123113,135.31623,0.252,1.9616,516.3,1.74,970.0,209.79,41.6,5097.0,4.597,0.779,43.039291,15.067
221,7455287,CONFIRMED,1.0,8.01078456,170.20739,0.192,2.312,1333.6,1.72,453.0,9.9,48.5,3713.0,4.779,0.47,43.056301,15.847
222,7455287,CONFIRMED,1.0,12.07134205,143.45948,0.014,4.3224,759.2,1.29,395.0,5.74,31.0,3713.0,4.779,0.47,43.056301,15.847
223,7455287,CONFIRMED,0.986,20.99587872,152.31554,0.228,2.6333,767.3,1.3,328.0,2.74,18.2,3713.0,4.779,0.47,43.056301,15.847
224,7458762,CONFIRMED,1.0,7.41113177,175.34754,0.712,2.5242,620.5,2.45,905.0,158.11,50.4,5849.0,4.517,0.919,43.029831,15.031
225,7552344,FALSE POSITIVE,0.0,1.000747038,169.974229,0.908,0.9967,1823.5,4.14,1620.0,1635.2,147.4,5472.0,4.499,0.79,43.164909,15.419
226,757450,CONFIRMED,0.999,8.884922995,169.991686,0.069,2.07004,16053.0,10.51,770.0,83.21,388.2,5332.0,4.5,0.843,36.577381,15.264
227,7585481,CONFIRMED,1.0,8.09888906,176.623731,0.018,4.20241,6911.1,8.95,986.0,223.19,435.9,6214.0,4.442,1.076,43.272739,15.261
