,KepID,Exoplanet Archive Disposition,Disposition Score,Orbital Period [days],Transit Epoch [BKJD],Impact Parameter,Transit Duration [hrs],Transit Depth [ppm],Planetary Radius [Earth radii],Equilibrium Temperature [K],Insolation Flux [Earth flux],Transit Signal-to-Noise,Stellar Effective Temperature [K],Stellar Surface Gravity [log10(cm/s**2)],Stellar Radius [Solar radii],Dec [decimal degrees],Kepler-band [mag]
3290,6850504,CONFIRMED,1.0,3.696121272,134.5014,0.016,2.463,383.4,1.78,1095.0,340.33,130.0,5465.0,4.449,0.925,42.338718,12.498
3291,5351250,CONFIRMED,1.0,3.42806306,132.36268,0.082,2.417,178.4,1.21,1131.0,386.14,16.6,5559.0,4.47,0.914,40.520901,14.985
3292,5444548,CONFIRMED,1.0,13.24931848,179.52171,0.62,4.4859,647.6,2.86,806.0,99.54,87.8,5799.0,4.361,1.078,40.692039,14.15
3293,10187017,FALSE POSITIVE,1.0,22.4098677,147.38366,0.869,2.271,69.8,0.73,489.0,13.55,11.9,4900.0,4.602,0.741,47.208031,11.492
3294,8891318,FALSE POSITIVE,,363.706662,204.02069,0.9315,8.553,1624.6,5.26,283.0,1.51,43.7,6240.0,4.397,1.064,45.142509,14.188
3296,9583881,CONFIRMED,1.0,18.00932214,182.441015,0.55,4.9611,3004.4,4.96,658.0,44.29,245.2,5815.0,4.54,0.877,46.273811,14.794
3297,9589524,CONFIRMED,1.0,22.18431824,174.597325,0.032,3.0397,1593.0,3.18,546.0,21.06,87.6,5157.0,4.5,0.818,46.289768,14.767
3299,8019043,FALSE POSITIVE,0.0,0.80489537,132.0521644,,0.92,,,,,,,,,43.876141,11.427
3300,11775507,FALSE POSITIVE,0.174,276.32360146,162.1955353,0.706,9.8964,81.3,1.21,352.0,3.63,4.6,6528.0,4.257,1.26,49.917702,12.431
3301,10187017,CONFIRMED,1.0,5.28691996,135.85427,0.705,2.579,41.5,0.51,792.0,92.97,15.8,4900.0,4.602,0.741,47.208031,11.492
3302,6838050,CONFIRMED,1.0,6.51003001,172.91588,0.023,3.3095,602.8,2.78,1017.0,253.24,48.1,5638.0,4.327,1.153,42.3545,14.825
3303,6937692,CONFIRMED,0.996,35.18105723,170.09969,0.772,7.545,987.7,4.17,664.0,45.89,63.1,6520.0,4.375,1.215,42.41362,14.856
3304,7602070,FALSE POSITIVE,0.0,11.75560012,176.07519,1.228,4.7,648.8,22.39,716.0,62.19,46.3,5644.0,4.575,0.806,43.261089,14.356
3305,7812179,FALSE POSITIVE,0.0,17.79421914,169.605214,1.242,4.1918,1549.4,25.27,606.0,31.94,111.5,5485.0,4.574,0.805,43.544579,14.427
3306,1868404,FALSE POSITIVE,0.384,6.12601169,134.83637,0.422,1.733,40.2,0.83,1141.0,400.49,7.0,5679.0,4.146,1.286,37.397282,12.975
3307,7445445,CONFIRMED,1.0,29.02235217,198.37025,0.902,4.0263,637.6,2.55,559.0,23.06,41.4,5788.0,4.524,0.848,43.074711,14.338
3308,7595157,CONFIRMED,1.0,3.383540239,169.63859,0.63,1.403,255.7,1.65,1133.0,389.19,36.2,5300.0,4.385,0.986,43.279869,14.14
3309,7595157,CONFIRMED,0.989,2.358952404,132.68957,0.385,1.593,94.1,0.96,1278.0,630.43,17.3,5300.0,4.385,0.986,43.279869,14.14
3310,8008206,CONFIRMED,1.0,20.72904234,185.43113,0.559,2.8066,561.7,1.94,530.0,18.68,31.6,4979.0,4.538,0.803,43.889912,14.458
3311,8008206,CONFIRMED,1.0,1.632916419,134.54956,0.136,1.5599,209.2,1.13,1237.0,554.07,31.0,4979.0,4.538,0.803,43.889912,14.458
3313,5449777,FALSE POSITIVE,0.0,7.216951388,176.283024,1.283,1.89082,4284.5,41.57,1055.0,292.7,312.2,6266.0,4.38,1.056,40.696049,14.454
3314,5478055,FALSE POSITIVE,0.0,15.85238672,174.22654,1.262,5.179,928.5,32.21,775.0,85.35,36.5,5903.0,4.322,1.005,40.662231,14.508
3315,5683743,CONFIRMED,0.922,4.147021189,170.325835,0.255,2.8997,3680.7,7.31,1258.0,590.84,421.2,5818.0,4.266,1.205,40.990501,14.288
3316,5791986,CONFIRMED,1.0,15.22895514,176.56001,0.777,2.5967,1124.8,3.0,639.0,39.4,63.8,5456.0,4.562,0.812,41.023239,14.769
3317,5791986,CONFIRMED,1.0,24.67458244,146.77261,0.817,3.2648,650.6,2.33,544.0,20.71,31.9,5456.0,4.562,0.812,41.023239,14.769
3320,9844088,CONFIRMED,1.0,3.750832927,171.151696,0.001,1.9457,2397.9,4.61,1129.0,383.77,212.5,5776.0,4.512,0.95,46.6264,14.749
3321,10019643,CONFIRMED,1.0,21.34736612,171.73531,0.885,4.184,630.5,3.2,648.0,41.65,53.1,5395.0,4.324,1.071,46.987331,14.415
3322,10019643,CONFIRMED,0.998,7.81100952,132.30566,0.816,3.231,126.7,1.36,906.0,159.24,15.8,5395.0,4.324,1.071,46.987331,14.415
3323,10123064,CONFIRMED,1.0,4.243748097,173.563074,0.032,3.3603,1409.7,3.16,1063.0,301.46,139.8,5873.0,4.554,0.843,47.196678,15.0
3324,5653126,FALSE POSITIVE,0.0,2.404483552,133.170974,1.0,0.2961,0.8,0.48,2078.0,4402.44,0.0,6050.0,3.823,2.345,40.896271,13.173
3325,7840044,FALSE POSITIVE,0.0,13.54204116,171.09767,0.722,3.334,338.7,2.01,794.0,93.98,26.4,5891.0,4.395,1.015,43.567871,14.53
3326,8015907,CONFIRMED,1.0,2.752359689,171.259808,0.436,2.0722,791.9,2.54,1178.0,455.43,115.7,5461.0,4.499,0.897,43.873402,14.034
3327,8017703,CONFIRMED,1.0,13.98177862,181.975114,0.444,2.958,1018.4,2.09,553.0,22.1,95.6,4859.0,4.615,0.651,43.832088,14.287
3328,8017703,CONFIRMED,1.0,44.0003975,210.76222,0.032,5.1115,599.6,1.56,377.0,4.79,43.3,4859.0,4.615,0.651,43.832088,14.287
3329,8017703,CONFIRMED,0.996,247.354914,364.15832,0.044,8.677,1291.8,2.29,212.0,0.48,49.0,4859.0,4.615,0.651,43.832088,14.287
3330,1995712,FALSE POSITIVE,0.0,462.12069,307.6255,0.002,10.42,633.7,2.46,249.0,0.91,9.9,6079.0,4.411,0.974,37.465591,14.936
3331,8106610,FALSE POSITIVE,0.0,12.39894005,172.78184,0.975,4.262,702.9,4.06,890.0,148.37,50.7,6355.0,4.41,1.108,43.986568,14.755
3332,8056665,CONFIRMED,0.997,207.5829306,289.88311,0.84,7.0686,505.1,4.52,453.0,9.97,70.0,6688.0,4.062,1.79,43.81427,11.642
3333,8120608,CONFIRMED,1.0,7.26731094,174.31292,0.043,2.2691,659.1,1.14,464.0,10.93,47.8,3751.0,4.8,0.443,43.955021,14.625
3334,8120608,CONFIRMED,1.0,13.3430025,176.90387,0.517,2.7399,799.7,1.29,379.0,4.87,47.1,3751.0,4.8,0.443,43.955021,14.625
3335,8120608,CONFIRMED,1.0,3.886795001,133.32959,0.119,1.7574,471.3,0.97,571.0,25.26,41.8,3751.0,4.8,0.443,43.955021,14.625
3336,8120608,CONFIRMED,0.999,22.40777833,153.79858,0.147,3.2881,661.3,1.15,319.0,2.44,33.9,3751.0,4.8,0.443,43.955021,14.625
3337,5872150,FALSE POSITIVE,0.0,20.35509657,175.3437299,0.503,5.33265,25080.0,17.53,720.0,63.6,1703.2,6081.0,4.404,1.077,41.139149,14.557
3338,5872150,FALSE POSITIVE,0.017,5.92240377,173.81802,0.949,3.691,413.4,2.77,1087.0,329.86,44.4,6081.0,4.404,1.077,41.139149,14.557
3340,6850504,CONFIRMED,0.563,77.6114427,164.7292,0.094,7.1786,814.5,2.59,397.0,5.87,100.5,5465.0,4.449,0.925,42.338718,12.498
3341,6508221,CONFIRMED,1.0,18.20795835,185.84306,0.64,3.7965,1596.9,3.08,551.0,21.86,157.3,5176.0,4.612,0.738,41.989079,14.29
3343,10155434,CONFIRMED,1.0,12.70636123,180.63164,0.793,2.395,871.7,2.75,697.0,55.86,54.0,5573.0,4.562,0.839,47.17194,14.673
3344,10460984,CONFIRMED,1.0,10.94577783,176.71834,0.819,3.0937,532.8,2.84,881.0,142.23,52.5,5888.0,4.342,1.097,47.62991,14.282
3345,10460984,CONFIRMED,0.999,28.9869016,134.7812,0.842,3.6233,471.6,2.7,637.0,38.82,31.5,5888.0,4.342,1.097,47.62991,14.282
3346,10460984,CONFIRMED,1.0,94.886902,214.82879,0.982,6.923,641.7,4.24,429.0,7.99,25.5,5888.0,4.342,1.097,47.62991,14.282
3347,10460984,CONFIRMED,1.0,5.03505665,132.65597,0.911,1.804,151.5,1.63,1141.0,401.23,16.6,5888.0,4.342,1.097,47.62991,14.282
3348,6436505,FALSE POSITIVE,0.368,24.7222403,146.4611,0.106,4.53,290.1,1.31,536.0,19.53,9.3,5481.0,4.592,0.778,41.84354,15.857
3349,8022244,CONFIRMED,1.0,11.90352088,178.34161,0.421,4.297,633.0,2.56,827.0,110.54,47.2,6063.0,4.47,1.001,43.876179,14.939
3350,2571238,CONFIRMED,1.0,9.286964466,135.9945,0.004,3.3649,691.7,2.1,762.0,79.68,251.9,5546.0,4.575,0.81,37.851799,11.898
3351,8022244,CONFIRMED,1.0,34.0350605,134.42752,0.474,6.695,727.8,2.76,583.0,27.24,41.3,6063.0,4.47,1.001,43.876179,14.939
3352,8037145,CONFIRMED,1.0,12.75934489,170.32152,0.657,3.5889,882.1,2.58,633.0,37.95,70.4,4963.0,4.501,0.826,43.85326,14.55
3353,8037145,CONFIRMED,1.0,5.433132902,138.36644,0.72,2.4012,328.2,1.61,841.0,118.56,33.1,4963.0,4.501,0.826,43.85326,14.55
3354,2140389,FALSE POSITIVE,0.0,0.967427812,132.258305,1.248,5.8883,9127.8,29.01,1419.0,956.61,323.4,5066.0,4.625,0.709,37.59428,15.826
3355,8193178,CONFIRMED,1.0,10.64021008,179.77776,0.77,5.4381,455.3,2.87,963.0,203.48,58.6,6112.0,4.281,1.233,44.08931,14.173
3356,8193178,CONFIRMED,1.0,4.93883135,135.95465,0.633,4.388,123.5,1.44,1244.0,566.38,21.3,6112.0,4.281,1.233,44.08931,14.173
3357,8344004,CONFIRMED,1.0,5.996533443,172.50558,0.51,3.3129,711.4,2.96,1025.0,260.49,70.5,5622.0,4.346,1.089,44.315529,14.674
3358,8344004,CONFIRMED,0.999,2.06190864,133.19888,0.537,1.9743,214.0,1.63,1463.0,1082.28,27.9,5622.0,4.346,1.089,44.315529,14.674
3359,8355239,CONFIRMED,1.0,20.13490007,171.36734,0.798,3.7962,1035.2,2.98,544.0,20.66,64.7,4963.0,4.501,0.826,44.305,14.859
3361,6508221,CONFIRMED,0.766,88.2553729,153.77974,0.886,4.539,1132.2,2.96,326.0,2.67,54.2,5176.0,4.612,0.738,41.989079,14.29
3363,7975727,FALSE POSITIVE,0.0,22.418319842,172.797099,0.8,5.349,11929.0,9.94,563.0,23.8,944.4,5324.0,4.491,0.813,43.707218,14.479
3364,8219673,FALSE POSITIVE,0.0,20.131477716,189.390784,1.279,3.2806,8243.2,39.89,670.0,47.49,427.5,6003.0,4.507,0.932,44.181728,14.519
3365,8352537,CONFIRMED,1.0,6.010383339,174.084883,0.436,2.1939,2652.1,3.8,768.0,82.31,276.1,4882.0,4.558,0.738,44.34528,14.247
3367,3248033,FALSE POSITIVE,0.0,1.334101467,133.703081,0.153,2.1033,120.8,1.74,2169.0,5207.55,43.0,6178.0,4.106,1.58,38.366772,12.161
3369,10577994,CONFIRMED,1.0,8.1808949,176.69885,0.521,2.7546,723.5,2.1,716.0,62.21,48.7,5081.0,4.596,0.77,47.809738,14.802
3370,10577994,CONFIRMED,1.0,15.31296388,171.79412,0.607,3.0935,864.9,2.34,581.0,26.98,45.3,5081.0,4.596,0.77,47.809738,14.802
3371,10599206,CONFIRMED,1.0,18.42794957,178.43963,0.727,2.9264,706.6,2.24,526.0,18.05,36.0,4768.0,4.536,0.779,47.81448,14.958
3372,6768616,FALSE POSITIVE,0.294,8.8249556,131.7064,0.21,2.976,121.1,1.1,928.0,175.17,8.6,6078.0,4.434,0.994,42.280022,15.154
3373,10068383,FALSE POSITIVE,0.0,7.30497811,169.64592,0.932,4.5414,10930.0,10.86,760.0,78.87,69.6,5247.0,4.609,0.744,47.040421,15.765
3374,10157573,FALSE POSITIVE,0.761,5.115750935,173.26599,1.475,2.5378,1055.8,60.74,1202.0,493.38,51.8,6398.0,4.411,1.101,47.128551,15.132
3375,10191070,FALSE POSITIVE,0.0,1.213745575,170.582782,1.246,5.5835,2012.2,21.69,1246.0,572.53,213.7,4820.0,4.606,0.661,47.231918,15.825
3377,10225800,FALSE POSITIVE,0.0,1.423799421,169.67436,0.501,1.4866,2008.4,4.69,1659.0,1791.61,125.3,5962.0,4.464,1.019,47.243649,15.623
3379,10227020,CONFIRMED,1.0,14.78767172,176.79399,0.021,6.1191,781.8,3.46,827.0,110.42,39.4,5814.0,4.269,1.248,47.279491,15.344
3380,4563268,CONFIRMED,0.996,4.16536757,132.04068,0.348,3.2935,120.0,1.0,1048.0,284.49,30.4,5604.0,4.52,0.912,39.637581,13.307
3381,4644604,CONFIRMED,1.0,14.48584765,175.00624,0.93,3.1365,457.1,2.88,784.0,89.16,52.2,5784.0,4.352,1.085,39.70829,13.946
3382,4656049,CONFIRMED,1.0,40.6992062,172.57123,0.854,7.074,429.9,3.2,685.0,52.05,38.5,6419.0,4.175,1.362,39.76791,13.949
3383,4659405,FALSE POSITIVE,0.0,4.532402495,171.92667,0.99,3.12,339.1,3.69,1160.0,426.69,43.1,5575.0,4.278,1.173,39.799122,13.932
3384,7941635,FALSE POSITIVE,0.376,25.273355,134.5501,1.208,34.48,496.1,24.74,579.0,26.57,16.9,5313.0,4.39,0.976,43.736118,14.5
3385,4742414,CONFIRMED,0.999,15.458056682,173.782454,0.05,8.79536,4253.2,9.11,871.0,136.4,1055.9,5868.0,4.169,1.407,39.854801,13.398
3389,7764367,CONFIRMED,1.0,3.173914037,170.92525,0.819,3.6069,303.0,3.07,1655.0,1769.83,76.1,6432.0,4.164,1.584,43.493141,13.949
3390,9024857,FALSE POSITIVE,0.005,379.11996,267.6893,0.483,7.22,1107.7,2.74,221.0,0.57,9.2,5546.0,4.575,0.81,45.344372,15.496
3393,10227020,CONFIRMED,0.994,9.84824649,138.38845,0.55,5.7471,436.7,2.68,947.0,189.82,25.3,5814.0,4.269,1.248,47.279491,15.344
3394,10227020,CONFIRMED,1.0,19.7243672,135.05923,0.898,7.202,577.9,3.57,751.0,75.23,26.0,5814.0,4.269,1.248,47.279491,15.344
3395,6678383,CONFIRMED,0.978,51.75530504,271.08808,0.638,7.4355,609.2,2.61,515.0,16.6,116.9,5979.0,4.394,1.005,42.166779,12.596
3397,10227020,CONFIRMED,0.992,7.38443269,137.47412,0.594,5.7351,349.8,2.42,1042.0,278.67,23.7,5814.0,4.269,1.248,47.279491,15.344
3398,10259031,FALSE POSITIVE,0.0,7.06115081,169.86425,2.824,3.547,1526.9,171.85,886.0,145.61,60.4,5795.0,4.554,0.848,47.339211,15.592
3400,4827723,CONFIRMED,1.0,7.23858162,171.21912,0.147,3.1199,268.2,1.34,816.0,104.51,41.6,5411.0,4.561,0.831,39.945011,13.359
3401,4841374,CONFIRMED,0.999,161.4746786,170.60338,0.746,10.572,828.2,3.25,343.0,3.27,47.8,5761.0,4.383,1.044,39.942429,13.871
3402,4861736,FALSE POSITIVE,0.0,6.277827312,172.5786,0.95,8.6841,1856.8,4.87,985.0,222.45,191.3,6077.0,4.526,0.891,39.918331,13.851
3403,5020319,CONFIRMED,1.0,16.71987303,171.40143,0.437,3.317,523.1,2.52,767.0,81.63,19.2,6020.0,4.389,1.085,40.19463,13.034
3404,5090690,FALSE POSITIVE,0.0,12.011661094,176.6358115,1.024,3.77516,14294.0,55.2,1317.0,710.87,1898.4,6753.0,3.91,2.396,40.263184,13.252
3405,8161561,CONFIRMED,1.0,3.275821982,170.25357,0.746,3.0427,274.9,3.54,1730.0,2121.23,64.4,6185.0,4.013,1.972,44.035809,13.992
3406,8361905,CONFIRMED,1.0,15.87360981,182.40408,0.395,3.5246,415.6,1.53,632.0,37.68,38.4,5656.0,4.607,0.737,44.387081,13.766
3407,12116489,CONFIRMED,0.882,12.3860474,132.8175,0.538,2.604,151.3,1.11,679.0,50.23,9.1,5121.0,4.457,0.888,50.673019,14.773
3408,8409588,FALSE POSITIVE,0.0,1.360834768,169.709729,1.008,1.4886,1570.5,7.24,1660.0,1792.47,169.8,6215.0,4.543,0.872,44.409458,13.591
3409,11250587,CONFIRMED,1.0,7.256962446,134.023923,0.676,4.9402,463.2,3.53,1163.0,432.1,168.3,5858.0,4.112,1.549,48.982361,12.702
3410,8480285,CONFIRMED,1.0,29.66631669,189.36948,0.019,8.412,668.0,2.83,644.0,40.68,95.3,5956.0,4.322,1.098,44.591679,13.965
3411,8480285,CONFIRMED,1.0,16.2254975,144.02673,0.273,6.471,120.4,1.21,788.0,90.93,20.3,5956.0,4.322,1.098,44.591679,13.965
3412,10265898,CONFIRMED,1.0,1.260258822,170.408984,0.791,1.8594,1130.7,3.57,1569.0,1435.82,128.2,5550.0,4.5,0.954,47.381592,15.342
3414,2302758,FALSE POSITIVE,0.0,0.542122617,131.98408,0.108,1.283,88.3,0.94,2238.0,5914.13,16.3,5875.0,4.476,0.998,37.676689,14.661
3415,10265898,CONFIRMED,0.992,5.25449393,132.55624,0.837,3.078,169.0,1.41,975.0,213.25,12.6,5550.0,4.5,0.954,47.381592,15.342
3416,10271806,CONFIRMED,1.0,5.924993927,169.71629,0.848,2.8874,1608.1,3.15,758.0,77.91,68.5,5016.0,4.641,0.679,47.357601,15.644
3417,10271806,CONFIRMED,1.0,11.34934848,134.31805,0.398,3.1101,1249.8,2.39,610.0,32.75,41.7,5016.0,4.641,0.679,47.357601,15.644
3418,5098444,FALSE POSITIVE,0.0,26.94927489,177.968689,0.438,10.6977,19964.0,7.37,395.0,5.78,415.7,4723.0,4.741,0.512,40.26778,13.771
3419,5113822,CONFIRMED,1.0,23.6421965,172.58844,0.022,5.018,1102.2,2.9,595.0,29.65,97.2,5750.0,4.538,0.882,40.236271,13.595
3420,5113822,CONFIRMED,0.954,67.0930642,146.57047,0.822,7.334,1254.2,3.51,420.0,7.38,73.7,5750.0,4.538,0.882,40.236271,13.595
3421,5120087,CONFIRMED,1.0,17.97979816,182.24179,0.069,5.5828,459.1,2.89,828.0,111.12,43.9,6141.0,4.272,1.352,40.22823,13.5
3422,5121511,CONFIRMED,1.0,30.99664113,191.78502,0.791,2.9182,655.3,2.43,500.0,14.72,59.9,5324.0,4.544,0.853,40.288601,13.332
3423,8557374,CONFIRMED,1.0,2.462344253,171.84315,0.051,1.8113,180.1,1.33,1326.0,730.86,42.1,5736.0,4.467,1.008,44.647179,13.648
3424,8557374,CONFIRMED,1.0,4.822969318,134.43535,0.891,0.8752,332.1,2.22,1060.0,297.73,36.0,5736.0,4.467,1.008,44.647179,13.648
3426,8738735,CONFIRMED,0.997,28.7796446,193.30374,0.886,8.349,253.2,1.95,619.0,34.65,36.5,6000.0,4.45,1.044,44.956032,13.949
3427,8738735,CONFIRMED,1.0,15.66057688,146.3487,0.244,7.012,384.1,2.05,758.0,78.01,67.5,6000.0,4.45,1.044,44.956032,13.949
3428,8802165,CONFIRMED,1.0,17.42115972,184.245906,0.651,4.9974,928.1,3.11,674.0,48.91,114.3,5679.0,4.487,0.972,45.016891,13.939
3429,10271806,CONFIRMED,1.0,3.13295351,135.67494,0.135,2.2207,435.2,1.39,937.0,181.84,23.9,5016.0,4.641,0.679,47.357601,15.644
3430,10271806,CONFIRMED,1.0,18.64349986,141.62687,0.774,1.8491,813.4,2.14,517.0,16.91,16.1,5016.0,4.641,0.679,47.357601,15.644
3431,5351250,FALSE POSITIVE,0.005,93.803766,170.55916,0.63,2.946,460.1,2.05,375.0,4.69,8.6,5559.0,4.47,0.914,40.520901,14.985
3432,10272442,CONFIRMED,1.0,24.5434566,187.92215,0.042,7.2518,1151.3,3.08,616.0,34.07,64.5,5955.0,4.52,0.91,47.3078,15.344
3433,10984090,CONFIRMED,0.99,51.07926451,185.18087,0.017,6.3729,736.8,2.75,503.0,15.17,126.8,5833.0,4.407,1.022,48.49556,12.772
3437,5181817,FALSE POSITIVE,0.0,4.350413063,171.43565,0.549,1.7694,192.5,1.26,1088.0,331.98,37.8,5978.0,4.534,0.876,40.356571,13.211
3438,5309353,FALSE POSITIVE,0.0,1.376384817,169.72919,0.558,1.745,365.9,1.47,1343.0,770.31,47.8,5278.0,4.591,0.746,40.428425,13.992
3439,5356593,FALSE POSITIVE,0.0,45.977861823,240.597609,0.367,7.4493,23886.0,17.09,541.0,20.32,1283.6,5761.0,4.306,1.096,40.532661,13.725
3440,8805348,CONFIRMED,1.0,29.90721859,175.29337,0.022,4.8475,588.0,2.16,564.0,23.92,79.8,5739.0,4.476,0.896,45.079559,13.437
3441,8869680,FALSE POSITIVE,0.193,7.03380109,174.15772,0.861,6.4185,138.5,2.61,1320.0,718.45,46.7,6122.0,4.019,1.934,45.134621,13.357
3443,8878187,CONFIRMED,0.955,3.032147946,171.734281,0.836,3.8627,488.6,3.62,1507.0,1218.88,103.1,5827.0,4.151,1.447,45.15427,13.684
3444,4914423,CONFIRMED,1.0,15.96532718,142.178033,0.674,4.5837,482.2,3.33,872.0,136.42,144.2,5880.0,4.154,1.433,40.064529,12.287
3445,8891278,FALSE POSITIVE,0.0,12.718711489,172.995345,1.588,2.48998,8378.9,120.02,1042.0,279.33,550.2,6120.0,4.036,1.596,45.189793,13.816
3447,10340423,CONFIRMED,1.0,18.79418506,177.79426,0.356,3.2906,1529.0,2.33,412.0,6.79,40.2,4126.0,4.668,0.602,47.457088,15.962
3448,10340423,CONFIRMED,1.0,6.73893544,135.28218,0.043,2.813,601.3,1.44,579.0,26.64,24.2,4126.0,4.668,0.602,47.457088,15.962
3449,10345478,FALSE POSITIVE,0.0,14.49839316,182.679596,0.91,3.7343,3271.1,5.16,607.0,32.22,125.6,5268.0,4.602,0.735,47.408791,15.684
3450,10358759,CONFIRMED,1.0,10.3392408,170.38549,0.15,3.075,1184.6,2.98,777.0,86.46,51.4,5730.0,4.545,0.87,47.49123,15.282
3451,5374854,CONFIRMED,0.886,8.50339249,170.86894,0.825,2.9569,188.9,1.95,1021.0,257.22,28.5,5877.0,4.233,1.265,40.592251,13.716
3452,5374854,CONFIRMED,1.0,23.7832097,179.75013,0.01,7.939,256.5,2.01,725.0,65.26,38.3,5877.0,4.233,1.265,40.592251,13.716
3453,5384802,FALSE POSITIVE,0.0,3.041547148,170.4878722,1.233,3.22798,20691.0,60.05,1544.0,1344.31,1670.6,6431.0,4.293,1.295,40.510899,13.705
3454,5531694,CONFIRMED,1.0,5.16949729,170.31339,0.235,4.5122,210.6,2.06,1309.0,694.32,66.2,6011.0,4.123,1.409,40.702702,13.55
3456,8908102,FALSE POSITIVE,0.0,5.41460536,174.65563,1.29,33.787,4080.1,116.93,1737.0,2150.63,294.4,6033.0,3.676,2.943,45.11652,13.633
3457,8962094,CONFIRMED,1.0,30.86436512,172.93477,0.851,2.9557,551.3,2.23,527.0,18.22,51.8,5677.0,4.563,0.828,45.213692,13.58
3458,8962094,CONFIRMED,1.0,9.36059705,171.97292,0.802,3.2069,236.5,1.42,784.0,89.47,42.0,5677.0,4.563,0.828,45.213692,13.58
3459,8962094,CONFIRMED,0.997,14.6672293,145.42058,0.596,3.742,198.1,1.21,675.0,49.12,30.5,5677.0,4.563,0.828,45.213692,13.58
3460,8962094,CONFIRMED,0.976,68.1609897,187.03346,0.459,5.662,295.6,1.45,405.0,6.34,25.0,5677.0,4.563,0.828,45.213692,13.58
3461,10358759,CONFIRMED,1.0,13.28689997,172.11932,0.017,3.2825,1039.6,2.78,715.0,61.8,41.3,5730.0,4.545,0.87,47.49123,15.282
3462,10386984,CONFIRMED,0.999,1.287076693,169.815491,0.003,1.4942,729.4,1.39,871.0,135.97,65.2,3736.0,4.724,0.525,47.57859,15.488
3464,10395381,CONFIRMED,1.0,17.6717714,186.3704,0.86,3.4202,918.6,2.44,513.0,16.38,36.2,4869.0,4.636,0.687,47.509682,15.556
3465,10418797,FALSE POSITIVE,0.0,23.355341391,169.8339432,0.842,4.60672,38524.0,21.55,601.0,30.96,1144.3,5754.0,4.534,0.905,47.55381,15.278
3466,5613330,CONFIRMED,1.0,23.44970494,182.92295,0.193,8.6567,315.6,2.71,802.0,97.94,67.9,6188.0,4.196,1.524,40.80072,13.31
3467,8456679,CONFIRMED,1.0,1.73513619,135.060047,0.045,2.2741,952.6,3.27,1554.0,1372.87,473.2,5751.0,4.391,1.071,44.435749,12.566
3468,5786676,CONFIRMED,1.0,11.95474513,178.721694,0.601,2.1433,903.4,5.15,906.0,159.04,96.3,5059.0,3.976,1.657,41.040081,13.594
3469,5796186,FALSE POSITIVE,0.0,42.55930625,204.130006,0.927,3.0148,2303.5,5.45,527.0,18.24,60.9,6032.0,4.489,0.924,41.048222,13.909
3470,5796675,CONFIRMED,1.0,16.080657264,182.7601,0.051,2.8701,3076.0,4.43,614.0,33.64,195.9,5303.0,4.547,0.817,41.095161,13.653
3471,9002278,CONFIRMED,1.0,18.16407304,180.812425,0.021,2.9355,943.2,1.98,508.0,15.72,99.7,4926.0,4.653,0.662,45.349861,13.725
3472,12306808,FALSE POSITIVE,0.0,7.334073405,137.1334748,0.559,2.7308,326.9,1.42,870.0,135.81,2.6,5985.0,4.603,0.758,51.058929,13.265
3473,9002278,CONFIRMED,1.0,5.71489692,170.921904,0.011,2.3572,425.9,1.33,747.0,73.38,73.0,4926.0,4.653,0.662,45.349861,13.725
3474,9002278,CONFIRMED,0.994,122.3858681,150.41158,0.101,7.123,711.1,1.72,269.0,1.24,46.3,4926.0,4.653,0.662,45.349861,13.725
3475,9053112,FALSE POSITIVE,0.0,1.274840187,169.86973,1.198,14.833,229.2,66.76,2498.0,9187.9,79.3,5365.0,3.669,2.872,45.305538,13.759
3476,4914423,CONFIRMED,1.0,179.609803,295.330361,0.711,13.755,1273.0,5.47,389.0,5.41,184.6,5880.0,4.154,1.433,40.064529,12.287
3477,9162741,FALSE POSITIVE,0.0,1.368617188,169.95175,0.464,1.6235,126.9,1.84,2255.0,6108.26,44.4,6561.0,4.14,1.584,45.566685,13.361
3478,5893123,FALSE POSITIVE,0.0,1.125963085,169.634,0.596,1.5034,146.0,1.41,1988.0,3689.22,43.1,6225.0,4.348,1.116,41.134602,13.858
3479,5941160,CONFIRMED,1.0,8.59481851,171.62781,0.617,3.254,336.5,1.75,854.0,125.48,37.5,5675.0,4.459,0.915,41.237461,13.984
3480,5941160,CONFIRMED,1.0,10.22215697,135.89017,0.911,1.1939,238.2,1.72,806.0,99.68,13.6,5675.0,4.459,0.915,41.237461,13.984
3481,5966154,CONFIRMED,1.0,25.6721559,192.09679,0.867,5.9629,387.1,2.68,683.0,51.47,78.4,6034.0,4.359,1.179,41.27282,13.004
3482,5966154,CONFIRMED,0.97,151.8851881,176.41272,0.788,12.091,360.6,2.47,378.0,4.81,46.3,6034.0,4.359,1.179,41.27282,13.004
3483,3749508,FALSE POSITIVE,0.0,1.065731229,132.039287,1.277,1.7499,3639.6,384.26,5118.0,161806.81,109.2,6244.0,2.897,10.105,38.83622,13.151
3484,9266431,CONFIRMED,1.0,18.39629744,185.13946,0.872,2.7838,680.2,2.47,582.0,27.09,58.4,5316.0,4.57,0.804,45.719711,13.704
3485,9300285,FALSE POSITIVE,0.0,1.012672041,170.189232,0.957,3.0512,1197.6,5.89,2337.0,7026.31,237.4,6663.0,4.275,1.338,45.746101,13.788
